time,lon,lat,precipitation,daily_mean_temrature,wind_mean_daily,hedef
2023-09-01 00:00:00,88.25,27.65000000000001,10.679999,12.05625,6.016666666666668,0
2023-09-01 00:00:00,88.25,27.750000000000004,4.9100003,7.795416666666667,6.145833333333335,0
2023-09-01 00:00:00,88.25,27.85000000000001,0.0,7.795416666666667,8.262500000000001,0
2023-09-01 00:00:00,88.25,27.950000000000006,0.0,7.795416666666667,7.145833333333332,0
2023-09-01 00:00:00,88.25,28.05,0.7049999,7.795416666666667,8.775,0
2023-09-01 00:00:00,88.35,27.65000000000001,5.765,12.05625,3.354166666666668,0
2023-09-01 00:00:00,88.35,27.750000000000004,7.4350004,7.795416666666667,6.145833333333335,0
2023-09-01 00:00:00,88.35,27.85000000000001,0.0,7.795416666666667,8.262500000000001,0
2023-09-01 00:00:00,88.35,27.950000000000006,0.0,7.795416666666667,8.674999999999999,0
2023-09-01 00:00:00,88.35,28.05,0.0,7.795416666666667,10.2625,0
2023-09-01 00:00:00,88.45,27.65000000000001,0.0,13.699166666666663,2.8666666666666667,0
2023-09-01 00:00:00,88.45,27.750000000000004,0.0,8.926666666666668,4.291666666666668,0
2023-09-01 00:00:00,88.45,27.85000000000001,0.17,8.926666666666668,5.783333333333332,0
2023-09-01 00:00:00,88.45,27.950000000000006,0.61499995,8.926666666666668,5.6916666666666655,0
2023-09-01 00:00:00,88.45,28.05,0.0,8.926666666666668,10.808333333333332,0
2023-09-01 00:00:00,88.55,27.65000000000001,0.95,13.699166666666663,3.270833333333334,0
2023-09-01 00:00:00,88.55,27.750000000000004,0.0,8.926666666666668,4.249999999999999,0
2023-09-01 00:00:00,88.55,27.85000000000001,0.0,8.926666666666668,5.783333333333332,0
2023-09-01 00:00:00,88.55,27.950000000000006,0.81000006,8.926666666666668,5.6916666666666655,0
2023-09-01 00:00:00,88.55,28.05,0.0,8.926666666666668,9.812499999999998,0
2023-09-01 00:00:00,88.65,27.65000000000001,1.7,13.699166666666663,4.124999999999999,0
2023-09-01 00:00:00,88.65,27.750000000000004,1.2850001,8.926666666666668,3.4083333333333337,0
2023-09-01 00:00:00,88.65,27.85000000000001,1.3199999,8.926666666666668,4.483333333333333,0
2023-09-01 00:00:00,88.65,27.950000000000006,1.3050001,8.926666666666668,5.045833333333331,0
2023-09-01 00:00:00,88.65,28.05,0.0,8.926666666666668,8.645833333333334,0
2023-09-01 00:00:00,88.75,27.65000000000001,1.04,13.699166666666663,3.270833333333334,0
2023-09-01 00:00:00,88.75,27.750000000000004,1.0049999,8.926666666666668,3.4083333333333337,0
2023-09-01 00:00:00,88.75,27.85000000000001,0.0,8.926666666666668,6.4750000000000005,0
2023-09-01 00:00:00,88.75,27.950000000000006,7.4449997,8.926666666666668,5.045833333333331,0
2023-09-01 00:00:00,88.75,28.05,0.0,8.926666666666668,11.3125,0
2023-09-02 00:00:00,88.25,27.65000000000001,6.414999,12.333333333333334,5.983333333333333,0
2023-09-02 00:00:00,88.25,27.750000000000004,3.4699998,6.642083333333333,7.295833333333334,0
2023-09-02 00:00:00,88.25,27.85000000000001,0.0,6.642083333333333,5.383333333333333,0
2023-09-02 00:00:00,88.25,27.950000000000006,11.295,6.642083333333333,6.066666666666666,0
2023-09-02 00:00:00,88.25,28.05,0.19999999,6.642083333333333,11.495833333333335,0
2023-09-02 00:00:00,88.35,27.65000000000001,1.6500001,12.333333333333334,4.25,0
2023-09-02 00:00:00,88.35,27.750000000000004,0.0,6.642083333333333,7.295833333333334,0
2023-09-02 00:00:00,88.35,27.85000000000001,0.0,6.642083333333333,5.383333333333333,0
2023-09-02 00:00:00,88.35,27.950000000000006,0.0,6.642083333333333,5.779166666666666,0
2023-09-02 00:00:00,88.35,28.05,0.0,6.642083333333333,13.391666666666666,0
2023-09-02 00:00:00,88.45,27.65000000000001,0.425,14.36875,3.875,0
2023-09-02 00:00:00,88.45,27.750000000000004,0.0,7.783333333333334,5.329166666666666,0
2023-09-02 00:00:00,88.45,27.85000000000001,0.0,7.783333333333334,5.091666666666666,0
2023-09-02 00:00:00,88.45,27.950000000000006,0.0,7.783333333333334,4.8500000000000005,0
2023-09-02 00:00:00,88.45,28.05,0.0,7.783333333333334,14.925,0
2023-09-02 00:00:00,88.55,27.65000000000001,1.9799999,14.36875,3.9375,0
2023-09-02 00:00:00,88.55,27.750000000000004,0.01,7.783333333333334,3.9666666666666655,0
2023-09-02 00:00:00,88.55,27.85000000000001,0.0,7.783333333333334,5.091666666666666,0
2023-09-02 00:00:00,88.55,27.950000000000006,0.0,7.783333333333334,4.8500000000000005,0
2023-09-02 00:00:00,88.55,28.05,0.34,7.783333333333334,13.333333333333336,0
2023-09-02 00:00:00,88.65,27.65000000000001,2.895,14.36875,3.908333333333333,0
2023-09-02 00:00:00,88.65,27.750000000000004,0.085,7.783333333333334,3.641666666666666,0
2023-09-02 00:00:00,88.65,27.85000000000001,0.215,7.783333333333334,4.425,0
2023-09-02 00:00:00,88.65,27.950000000000006,0.0,7.783333333333334,4.3625,0
2023-09-02 00:00:00,88.65,28.05,0.0,7.783333333333334,11.179166666666667,0
2023-09-02 00:00:00,88.75,27.65000000000001,10.55,14.36875,3.9375,0
2023-09-02 00:00:00,88.75,27.750000000000004,0.0,7.783333333333334,3.641666666666666,0
2023-09-02 00:00:00,88.75,27.85000000000001,0.0,7.783333333333334,5.483333333333333,0
2023-09-02 00:00:00,88.75,27.950000000000006,0.0,7.783333333333334,4.3625,0
2023-09-02 00:00:00,88.75,28.05,0.0,7.783333333333334,12.0375,0
